a 582 0,0634886004145304
b 830 0,0905421621031963
c 192 0,0209446929202574
d 146 0,0159266935747791
e 5 0,000545434711465038
f 598 0,0652339914912185
g 69 0,00752699901821752
h 154 0,0167993891131232
i 1160 0,126540853059889
j 126 0,0137449547289189
k 665 0,07254281662485
l 6 0,000654521653758045
m 4 0,00043634776917203
n 242 0,0263990400349078
o 98 0,0106905203447147
p 655 0,0714519472019199
q 420 0,0458165157630632
r 8 0,00087269553834406
s 147 0,0160357805170721
t 519 0,0566161230500709
u 751 0,0819242936620486
v 206 0,0224719101123596
w 395 0,043089342205738
x 700 0,0763608596051053
y 246 0,0268353878040799
z 243 0,0265081269772008
